iter	Passed	Remaining
0	56	5565
1	56	2770
2	56	1837
3	57	1371
4	57	1091
5	57	905
6	58	771
7	58	671
8	58	592
9	58	530
10	59	479
11	59	436
12	59	400
13	60	368
14	60	341
15	60	318
16	60	297
17	61	278
18	61	261
19	61	246
20	61	233
21	62	220
22	62	209
23	62	198
24	62	188
25	63	180
26	63	171
27	63	164
28	64	156
29	64	150
30	64	143
31	64	137
32	65	132
33	65	126
34	65	121
35	65	117
36	66	112
37	66	108
38	66	104
39	67	100
40	67	97
41	67	93
42	67	89
43	68	86
44	68	83
45	68	80
46	69	78
47	69	75
48	69	72
49	70	70
50	70	67
51	70	65
52	70	62
53	71	60
54	71	58
55	71	56
56	71	54
57	71	52
58	72	50
59	72	48
60	72	46
61	72	44
62	73	43
63	73	41
64	73	39
65	73	38
66	74	36
67	74	35
68	74	33
69	74	32
70	75	30
71	75	29
72	75	28
73	75	26
74	76	25
75	76	24
76	76	22
77	76	21
78	77	20
79	77	19
80	77	18
81	77	17
82	78	16
83	78	14
84	78	13
85	78	12
86	79	11
87	79	10
88	79	9
89	79	8
90	80	7
91	80	6
92	80	6
93	80	5
94	80	4
95	81	3
96	81	2
97	81	1
98	81	0
99	82	0
