iter	Passed	Remaining
0	60	60692
1	61	30450
2	61	20370
3	61	15327
4	61	12308
5	62	10293
6	62	8850
7	62	7771
8	63	6938
9	63	6276
10	63	5731
11	64	5269
12	64	4877
13	64	4543
14	64	4252
15	64	3996
16	65	3772
17	65	3571
18	65	3395
19	66	3234
20	66	3088
21	66	2955
22	66	2835
23	67	2726
24	67	2626
25	67	2532
26	67	2445
27	68	2364
28	68	2290
29	69	2231
30	69	2167
31	69	2105
32	69	2046
33	70	1993
34	70	1942
35	70	1896
36	71	1851
37	71	1809
38	71	1769
39	72	1729
40	72	1694
41	72	1659
42	73	1624
43	73	1591
44	73	1559
45	73	1528
46	73	1500
47	74	1472
48	74	1445
49	74	1419
50	74	1395
51	75	1371
52	75	1348
53	75	1327
54	76	1308
55	76	1289
56	76	1270
57	77	1251
58	77	1233
59	77	1215
60	77	1198
61	78	1182
62	78	1166
63	78	1151
64	79	1137
65	79	1124
66	79	1111
67	80	1098
68	80	1084
69	80	1071
70	80	1057
71	81	1045
72	81	1032
73	81	1020
74	81	1008
75	81	996
76	82	985
77	82	975
78	82	964
79	82	954
80	83	943
81	83	935
82	83	924
83	84	916
84	84	908
85	84	900
86	85	892
87	85	884
88	85	876
89	85	869
90	86	860
91	86	854
92	86	847
93	87	840
94	87	833
95	87	826
96	87	818
97	88	812
98	88	805
99	88	798
100	89	792
101	89	785
102	89	779
103	89	772
104	89	766
105	90	760
106	90	754
107	90	748
108	90	742
109	91	737
110	91	731
111	91	726
112	91	720
113	92	716
114	92	711
115	92	706
116	92	701
117	93	697
118	93	692
119	93	688
120	94	683
121	94	678
122	94	674
123	94	669
124	95	665
125	95	660
126	95	656
127	95	652
128	96	648
129	96	644
130	96	640
131	96	636
132	96	632
133	97	628
134	97	624
135	97	620
136	97	616
137	98	612
138	98	608
139	98	605
140	98	602
141	99	598
142	99	595
143	99	592
144	99	589
145	100	586
146	100	583
147	100	579
148	100	576
149	101	573
150	101	570
151	101	567
152	102	565
153	102	562
154	102	560
155	103	557
156	103	555
157	103	552
158	103	549
159	104	547
160	104	543
161	104	540
162	104	538
163	105	535
164	105	532
165	105	530
166	105	527
167	105	524
168	106	522
169	106	519
170	106	517
171	106	514
172	107	512
173	107	509
174	107	507
175	107	504
176	108	502
177	108	500
178	108	497
179	108	495
180	109	493
181	109	491
182	109	488
183	109	486
184	109	484
185	110	482
186	110	480
187	110	477
188	110	475
189	111	473
190	111	471
191	111	469
192	111	467
193	112	465
194	112	463
195	112	461
196	112	459
197	113	458
198	113	456
199	113	454
200	113	452
201	114	450
202	114	449
203	114	447
204	115	446
205	115	444
206	115	442
207	115	441
208	116	439
209	116	437
210	116	436
211	116	434
212	117	433
213	117	432
214	118	431
215	118	429
216	118	428
217	118	426
218	119	424
219	119	423
220	119	421
221	119	420
222	120	418
223	120	417
224	120	415
225	120	414
226	121	412
227	121	411
228	121	409
229	121	408
230	122	406
231	122	404
232	122	403
233	122	401
234	122	400
235	123	398
236	123	397
237	123	396
238	124	394
239	124	393
240	124	392
241	124	390
242	124	389
243	125	388
244	125	386
245	125	385
246	125	383
247	126	382
248	126	381
249	126	379
250	126	378
251	127	377
252	127	376
253	127	374
254	127	373
255	128	372
256	128	370
257	128	369
258	128	368
259	128	367
260	129	366
261	129	365
262	129	364
263	130	363
264	130	362
265	130	360
266	131	359
267	131	358
268	131	357
269	132	356
270	132	356
271	132	355
272	132	353
273	133	352
274	133	351
275	133	350
276	133	349
277	134	348
278	134	347
279	134	346
280	134	344
281	135	343
282	135	342
283	135	341
284	135	340
285	135	339
286	136	338
287	136	337
288	136	336
289	136	335
290	137	334
291	137	333
292	137	332
293	137	331
294	138	330
295	138	329
296	138	328
297	138	327
298	139	325
299	139	325
300	139	324
301	139	323
302	140	322
303	140	321
304	140	320
305	140	319
306	141	318
307	141	317
308	141	316
309	141	315
310	141	314
311	142	313
312	142	312
313	142	311
314	142	310
315	143	309
316	143	308
317	143	307
318	143	306
319	144	306
320	144	305
321	144	304
322	144	303
323	145	302
324	145	302
325	145	301
326	146	300
327	146	300
328	146	299
329	147	298
330	147	297
331	147	297
332	148	296
333	148	295
334	148	294
335	148	294
336	149	293
337	149	293
338	150	292
339	150	291
340	150	291
341	150	290
342	151	289
343	151	288
344	151	287
345	151	287
346	152	286
347	152	285
348	152	284
349	152	283
350	153	283
351	153	282
352	153	281
353	153	280
354	154	280
355	154	279
356	154	278
357	154	277
358	155	276
359	155	276
360	155	275
361	155	274
362	156	273
363	156	273
364	156	272
365	156	271
366	156	270
367	157	270
368	157	269
369	157	268
370	157	267
371	158	267
372	158	266
373	158	265
374	158	264
375	159	264
376	159	263
377	159	262
378	159	261
379	160	261
380	160	260
381	160	260
382	161	259
383	161	259
384	161	258
385	161	257
386	162	256
387	162	256
388	162	255
389	163	255
390	163	254
391	163	254
392	164	253
393	164	252
394	164	252
395	164	251
396	165	250
397	165	250
398	165	249
399	165	248
400	166	248
401	166	247
402	166	246
403	166	246
404	167	245
405	167	244
406	167	244
407	167	243
408	168	242
409	168	242
410	168	241
411	168	240
412	168	240
413	169	239
414	169	238
415	169	238
416	169	237
417	170	236
418	170	236
419	170	235
420	170	235
421	171	234
422	171	233
423	171	233
424	171	232
425	172	232
426	172	231
427	172	230
428	172	230
429	173	229
430	173	228
431	173	228
432	173	227
433	174	226
434	174	226
